total instructions scanned: 13961732
Unsupported/PANIC decode hits: 14918
distinct opcodes:             7743
decode() PANIC hits:          0

distinct unsupported/panic opcodes by instance count:
  4e217a23  x4   first@0x105860cd4
  4f031278  x4   first@0x105969000
  4e39ffba  x4   first@0x1058e9bf0
  4f0177ed  x4   first@0x1058e33b4
  4ea00a31  x4   first@0x103ce73a8
  0e79dbbd  x4   first@0x105897080
  0e79d800  x4   first@0x1058a5eac
  2ecb26d6  x4   first@0x1058a07ec
  4e4b0d2c  x4   first@0x10589ec48
  4ed40d6a  x4   first@0x10589ee5c
  4e217a73  x4   first@0x1059d3b1c
  4f071a9d  x4   first@0x10595d200
  2eca26ac  x4   first@0x1058a0724
  4e4f0dbd  x4   first@0x10589ef68
  4e550e34  x4   first@0x105a1e840
  0e5f0f88  x4   first@0x10589872c
  2e263484  x4   first@0x105b8aeb0
  1ee23802  x4   first@0x1059cfc78
  0ec2352a  x4   first@0x1058a0694
  0e4e0caf  x4   first@0x1058fe8bc
  1e250008  x4   first@0x10412fd1c
  4e40356b  x4   first@0x10589f3c4
  4e217a76  x4   first@0x105864c50
  4ea1dbb9  x4   first@0x1058e9be8
  0e4b0dac  x4   first@0x1058a0794
  0f051abc  x4   first@0x105969200
  0ee1e084  x4   first@0x1056cefc8
  6e3176d0  x4   first@0x1056b0ab0
  0f0512b8  x4   first@0x1059691f0
  4e4d0cae  x4   first@0x10589ef4c
  6e3476f0  x4   first@0x1056b0a74
  4e740e52  x4   first@0x10569ab9c
  4ee1e063  x4   first@0x10627cf7c
  6e3376d3  x4   first@0x1056b0aa0
  4ee1e004  x4   first@0x10627cfac
  0ecc156b  x4   first@0x1058a0744
  0f0310f8  x4   first@0x10596e324
  0e450c44  x4   first@0x105a23e08
  0e530c65  x4   first@0x10596c50c
  0e4d0fe5  x4   first@0x1058a07c8
  4f0310f8  x4   first@0x10596dfa0
  0ec134a5  x4   first@0x1058a0664
  0e450c24  x4   first@0x10597cc8c
  4f011934  x4   first@0x105959a9c
  0ef8c864  x4   first@0x1058d31c4
  0e4f0db6  x4   first@0x1058a07d0
  4ea1d91e  x4   first@0x10589d9ac
  4e4b0e8a  x4   first@0x10589ef3c
  4e21a883  x4   first@0x1033d978c
  4e21ab8a  x4   first@0x1034938e8
  4e3efd1f  x4   first@0x10589d9b0
  4f001a1e  x4   first@0x105965010
  0f001098  x4   first@0x10596e2c0
  1e224404  x4   first@0x1032c8d48
  4e540e55  x4   first@0x1058a5244
  4f1a3401  x4   first@0x1056a7710
  4ea1da92  x4   first@0x1058b4110
  4e217a67  x4   first@0x105860ce4
  4f001a1d  x4   first@0x1059654d4
  4f001098  x4   first@0x10596df3c
  4e217a45  x4   first@0x105860cdc
  2f001460  x4   first@0x103198b84
  1e210440  x4   first@0x103429d3c
  4ee4e0c4  x4   first@0x10627d1a0
  4f00121e  x4   first@0x1059692f4
  4f021954  x4   first@0x105959ac4
  4f07121d  x4   first@0x10595d1d0
  6e423c02  x4   first@0x1058a796c
  4e21cad6  x4   first@0x1058f24b8
  0e45154d  x4   first@0x1058a0728
  0f021258  x4   first@0x105969188
  4e4a158a  x4   first@0x10589ef34
  4e4a0eed  x4   first@0x10589eed8
  0e490c65  x4   first@0x10596c558
  1e216420  x4   first@0x10378e274
  4e217a22  x4   first@0x105864c48
  4e217a9a  x4   first@0x105864d80
  0f0610e2  x4   first@0x105a07f80
  2e221400  x4   first@0x1056ae488
  4e217a14  x4   first@0x105a16e30
  4e21ab6b  x4   first@0x1034938dc
  0e5c0f5d  x4   first@0x105897018
  0e490cbe  x4   first@0x10593f5dc
  0e430ca1  x4   first@0x10597cc1c
  4f021a3c  x4   first@0x105964ef0
  4e3bffdc  x4   first@0x1058e9bf4
  4e709cf0  x4   first@0x10569aff0
  4e750e10  x4   first@0x1056936dc
  6e327627  x4   first@0x1056b1a18
  0e350f39  x4   first@0x1056b976c
  0ef8f94b  x4   first@0x1058a07b0
  4ea1d91c  x4   first@0x1058e3130
  4ea1d93e  x4   first@0x1058e3134
  4ea1d969  x4   first@0x10589bda4
  4f0712f8  x4   first@0x105969084
  0e450dae  x4   first@0x1058a07d4
  6e220421  x4   first@0x1056ae168
  6e347614  x4   first@0x1056b0a30
  0e540e55  x4   first@0x1058a6140
  6ecb26d6  x4   first@0x10589ef7c
  4e217a01  x4   first@0x105860ccc
  4e21caf7  x4   first@0x1058f2468
  4e217a98  x4   first@0x105860e00
  4e217a54  x4   first@0x105864c40
  0f0612d8  x4   first@0x105969210
  0ee1e000  x4   first@0x10627cfb0
  0ea0f8e5  x4   first@0x103e87488
  4e560dae  x4   first@0x10589ef6c
  0e4b0d2c  x4   first@0x1058a04bc
  4e217a4a  x4   first@0x105864d9c
  1ee24044  x4   first@0x105a09e50
  4f1a34f0  x4   first@0x1056a7670
  4e4c0d2b  x4   first@0x10589ec50
  6e4e3ca5  x4   first@0x10589ef80
  4ecc156b  x4   first@0x10589eed4
  4f021a5c  x4   first@0x105968fe8
  0f0210d8  x4   first@0x10596e300
  4f061a9c  x4   first@0x10595d1fc
  6e300e10  x4   first@0x105691a90
  0f061adc  x4   first@0x105969220
  4e217adf  x4   first@0x105860e44
  0e4c0d2b  x4   first@0x1058a04c4
  0f001a1c  x4   first@0x105969150
  4f03127e  x4   first@0x105964f38
  4f0612d8  x4   first@0x105969060
  4e217a06  x4   first@0x105860dfc
  0ec21462  x4   first@0x10597cbe0
  2ec22462  x4   first@0x10597cbd8
  4e4e0caf  x4   first@0x105900b88
  0e4b0e8a  x4   first@0x1058a07ac
  6e367616  x4   first@0x1056b0a3c
  0e4a158a  x4   first@0x1058a07a4
  0e5e0ca9  x4   first@0x10593f5d4
  0e5d0f5c  x4   first@0x105897020
  4e5a0efb  x4   first@0x1058a5370
  4e430e3e  x4   first@0x105902ee4
  4e4b0dac  x4   first@0x10589ef24
  4e21cb5a  x4   first@0x1058f24b4
  4e217905  x4   first@0x1059d5548
  0e4a0eed  x4   first@0x1058a0748
  0ea0f860  x4   first@0x1032e4690
  4e21cb39  x4   first@0x1058f24c4
  4f021150  x4   first@0x105959ab4
  4e217a00  x4   first@0x105864c3c
  1ee21802  x4   first@0x1059ce3a4
  4f051abc  x4   first@0x105969050
  2e5e3ca5  x4   first@0x1058a07e4
  4f0110b8  x4   first@0x10596df5c
  4e430c02  x4   first@0x105a20980
  1ee03842  x4   first@0x1059ce57c
  4e5d0ca9  x4   first@0x10593cabc
  4ec2352a  x4   first@0x10589ee28
  6eca26ac  x4   first@0x10589eeb4
  0e79db9c  x4   first@0x105896fec
  4e21ab28  x4   first@0x1034938fc
  4f041005  x4   first@0x10598acd8
  0e550e34  x4   first@0x105a1ed30
  1e210480  x4   first@0x1037baf14
  4ee1e061  x4   first@0x10627cfb4
  4e45154d  x4   first@0x10589eeb8
  4e21aba9  x4   first@0x1034938f4
  4e29fd6a  x4   first@0x10589bda8
  0e4e0dbe  x4   first@0x1058a07dc
